title,link,salary_raw,company,company_type,company_size_raw,scrape_time,description,salary_monthly,company_size,ln_salary,AI_general,AI_specialized,has_AI,AI_category,industry_type,experience_level,education,company_type_group,job_category
AI部署工程师（浙大团队）,https://jobs.51job.com/hangzhou-fyq/170867880.html?s=sou_sou_soulb&t=0_0&req=cf621ed5a0132c2654e935e12b1a2512,1.5-3万,杭州集世迈新能源智能装备,民营,50-150人,2026/5/14 17:33,"岗位职责：
1、模型量化部署，主导 TensorRT 框架下的模型量化工作；
2、实现模型在 NVIDIA 系列平台等设备上的部署；
3、对 AI 部署工具的性能进行评估，根据评估结果为工具优化提供合理建议，推动工具性能提升。
任职要求：
1、大专及以上学历，计算机、电子工程、通信工程等工科相关专业；
2、2 年以上 AI 部署工程师或深度学习等相关工作经验；
3、掌握 TensorRT 量化部署全流程；
4、掌握 PyTorch 等模型导出与 ONNX 格式转换；
5、熟悉 INT8 量化误差分析方法，了解 FP16/BF16 混合精度优化策略；
6、具有 Orin 平台部署经验者优先。
职能类别：
算法工程师",22500.0,50-150人,10.021270588192511,False,True,True,Specialized AI,Traditional,1-3 yr,Associate,Private,Engineering
人工智能算法工程师,https://jobs.51job.com/hangzhou-scq/169125680.html?s=sou_sou_soulb&t=0_0&req=9dd804992318fcd539ffa9f438c71433,2-2.5万·13薪,上海微思臣智咨询管理,民营,150-500人,2026/5/14 18:33,"【工作内容】
- 负责人工智能相关算法的研究、开发与优化，推动技术在实际业务场景中的落地应用；
- 参与数据挖掘、机器学习模型的设计与实现，提升系统智能化水平；
- 与产品、研发团队紧密协作，推动算法成果的工程化与产品化；
【任职要求】
- 计算机科学、数学、统计学或相关专业本科及以上学历；
- 熟悉Python编程语言，具备良好的算法设计与实现能力；
- 了解机器学习、深度学习等主流算法原理及应用场景；
- 具备良好的逻辑思维能力和沟通协调能力，适应团队合作。
职能类别：
算法工程师",24375.0,150-500人,10.101313295866047,True,True,True,Both,Digital-Intensive,1-3 yr,Bachelor,Private,Algorithm
电机算法工程师,https://jobs.51job.com/hangzhou-fyq/172019987.html?s=sou_sou_soulb&t=0_0&req=9dd804992318fcd539ffa9f438c71433,3-5.5万,杭州极目智控科技,民营,150-500人,2026/5/14 18:33,"岗位职责
一、算法研发与实现：
1、负责永磁同步电机（PMSM）的矢量控制（FOC）算法开发，包括电流环、速度环、位置环的建模、仿真与代码实现。
2、针对10KW以上大功率电机，开发并优化MTPA（***转矩电流比）、弱磁控制（Flux-Weakening） 算法，提升系统在高速区的带载能力和效率。
3、深入研究并应用无传感器控制算法（如滑模观测器 SMO、模型参考自适应 MRAS、高频注入 HFI 等），解决特定工况下的转子位置估算难题。
二、性能优化与问题攻关：
1、主导解决大功率驱动中的关键技术难题，如转矩脉动抑制、振动噪声抑制、死区效应补偿及大电流下的热管理与效率优化。
2、针对无人机应用场景，优化电机在高空低气压环境下的散热表现和高速旋转下的结构稳定性算法。
3、针对机器人应用场景，优化低速重载下的控制精度和动态响应带宽。
三、系统集成与测试：
1、负责算法在 DSP/ARM/FPGA 平台上的移植、集成与调试。
2、主导台架标定、MIL/SIL/HIL 测试，并配合测试工程师完成整机联调、环境适应性测试及电磁兼容（EMC）整改。
3、撰写详细的设计文档、测试报告及故障分析报告。
四、行业前沿探索：
1、跟踪电机控制领域前沿技术（如AI参数辨识、预测控制等），结合公司产品路线图进行技术预研。

任职要求
1、学历与经验：全日制本科及以上学历，电力电子、电气工程、自动化、控制理论与控制工程等相关专业。
2、5年以上电机控制算法开发经验，具备10KW及以上功率等级的电机驱动器量产项目经验。
3、专业技能：深入理解永磁同步电机（PMSM）数学模型及控制原理，精通FOC、SVPWM、PID控制、弱磁控制等经典算法。
4、熟练掌握无传感器控制算法，并有实际调试经验。
5、精通 MATLAB/Simulink 进行算法建模与仿真，并能手写C代码或在 Simulink 中自动生成代码。
6、熟悉主流 MCU/DSP 平台（如 TI C2000, Infineon AURIX, STM32/G4 等），具备丰富的底层驱动调试经验。
7、熟练使用示波器、功率分析仪、测功机等设备进行调试与分析。

优先考虑：
无人机： 有高功率密度电机驱动器开发经验，有螺旋桨/涵道风扇负载调试经验者优先。
机器人行业： 有高精度伺服控制经验。
职能类别：
算法工程师",42500.0,150-500人,10.657259354912508,False,True,True,Specialized AI,Digital-Intensive,3+ yr,Bachelor,Private,Algorithm
人工智能算法工程师-2025(J10559),https://jobs.51job.com/hangzhou-bjq/169951986.html?s=sou_sou_soulb&t=0_0&req=9dd804992318fcd539ffa9f438c71433,1.8-2.2万·16薪,杭州极弱磁场国家重大科技基础设施研究院,事业单位,150-500人,2026/5/14 18:33,"工作职责:
1.开展大型建筑空间结构人工智能算法工作，负责算法模型的模型微调/训练、模型部署工作，如：神经网络、多模态、智能体、具身智能等场景应用模型的开发工作。
2.参与智能算法相关的科研项目需求以及技术方案的制订与实施，支撑大设施项目、交叉研究平台项目的数字化建设工作。
3.协助在建项目数字化、PHM相关技术创新和研发，并参与项目有关数字化和PHM实验室建设。
4.具备大型人工智能项目的开发经验优先,有大型建筑空间结构应力监测项目经验的优先考虑。
任职资格:
1.具备3-5年人工智能相关算法开发经验，土木结构建筑、计算机、数学、统计学等相关专业优先考虑；
2.掌握机器学习、深度学习、强化学习、多模态大模型、智能体、具身智能等的基本理论及应用知识；
3.熟练使用Python、C、C++语言，Pytorch，TensorFlow等深度学习框架；
4.具备在Windows、Linux平台上进行算法开发和部署的能力；
5.具有优秀的逻辑思维能力、学习能力、理解能力、沟通表达能力。
职能类别：
算法工程师",26666.666666666668,150-500人,10.191169624987909,True,True,True,Both,Digital-Intensive,1-3 yr,Unspecified,State-Owned,Algorithm
人工智能技术研究,https://jobs.51job.com/hangzhou-lpq/170794348.html?s=sou_sou_soulb&t=0_0&req=9dd804992318fcd539ffa9f438c71433,30-50万/年,浙江省医疗器械检验研究院（国家食品药品监督管理局杭州医疗器械质量监督检验中心）,事业单位,150-500人,2026/5/14 18:33,"工作内容：
1、开展人工智能医疗器械领域的标准化研究，包括通用技术框架、大模型、知识图谱、深度学习算法及自然语言处理等方面标准化研究工作。
2、开展人工智能技术的医疗器械评价体系和检测技术研究。
3、相关项目申报、标准制修订。

岗位要求：
1、计算机、数学或其他理工科相关专业，博士学历；
2、熟练掌握Perl/Python/Gloang/C++/Java等一种以上编程语言；掌握常用的人工智能算法（神经网络、逻辑回归、决策树、贝叶斯等），有实际Tensorflow、Caffe、PyTorch等项目经验；
3、掌握MySQL、Postgre SQL等数据库，熟悉数据库设计，有数据库存储和处理系统经验者优先。
4、具有机器学习，深度学习，自然语言处理，计算机视觉开发经验者优先；
5、主动性强、责任心强，有良好的沟通表达能力，学习能力强，对人工智能医疗器械领域有热情。
职能类别：
算法工程师",33333.333333333336,150-500人,10.41431317630212,True,True,True,Both,Digital-Intensive,1-3 yr,PhD,State-Owned,Other
人工智能+X学科综合科研岗,https://jobs.51job.com/hangzhou/164526472.html?s=sou_sou_soulb&t=0_0&req=9dd804992318fcd539ffa9f438c71433,2-4万·13薪,杭州市滨江区浙工大人工智能创新研究院,非营利组织,150-500人,2026/5/14 18:33,"岗位职责：
1、参与跨学科的科研项目，探索人工智能技术在特定学科领域的创新应用，提出新的研究方向和课题；
2、结合人工智能与相关学科领域的知识，开展综合性的科研项目；
3、根据研究项目的需求，设计和开发适合特定学科领域的机器学习、深度学习等人工智能模型。

任职要求：
1、具有相关学科领域的博士学位，或在人工智能及相关学科领域有丰富的研究经验，接受跨学科研究经历者；
2、熟悉自然语言处理、计算机视觉、强化学习等人工智能应用领域的相关技术和方法；
3、熟练掌握python、R、Java等至少一种编程语言，具备良好的编程习惯和代码管理能力，能够高效地实现算法和模型。
职能类别：
科研人员",32500.0,150-500人,10.388995368317829,True,True,True,Both,Digital-Intensive,1-3 yr,PhD,Other,Other
人工智能算法工程师(J10559),https://jobs.51job.com/hangzhou-bjq/169515154.html?s=sou_sou_soulb&t=0_0&req=9dd804992318fcd539ffa9f438c71433,2-2.7万·20薪,杭州极弱磁场国家重大科技基础设施研究院,事业单位,150-500人,2026/5/14 18:33,"【工作职责】
1.开展大型建筑空间结构人工智能算法工作，负责算法模型的模型微调/训练、模型部署工作，如：神经网络、多模态、智能体、具身智能等场景应用模型的开发工作。
2.参与智能算法相关的科研项目需求以及技术方案的制订与实施，支撑大设施项目、交叉研究平台项目的数字化建设工作。
3.协助在建项目数字化、PHM相关技术创新和研发，并参与项目有关数字化和PHM实验室建设。
4.具备大型人工智能项目的开发经验优先,有大型建筑空间结构应力监测项目经验的优先考虑。

【任职资格】
1.具备3-5年人工智能相关算法开发经验，土木结构建筑、计算机、数学、统计学等相关专业优先考虑；
2.掌握机器学习、深度学习、强化学习、多模态大模型、智能体、具身智能等的基本理论及应用知识；
3.熟练使用Python、C、C++语言，Pytorch，TensorFlow等深度学习框架；
4.具备在Windows、Linux平台上进行算法开发和部署的能力；
5.具有优秀的逻辑思维能力、学习能力、理解能力、沟通表达能力。
职能类别：
算法工程师",39166.666666666664,150-500人,10.575581323898241,True,True,True,Both,Digital-Intensive,1-3 yr,Unspecified,State-Owned,Algorithm
人工智能机器人编程工程师,https://jobs.51job.com/hangzhou-xsq/168828285.html?s=sou_sou_soulb&t=0_0&req=9dd804992318fcd539ffa9f438c71433,8千-1.6万·13薪,浙江西子航空制造,民营,150-500人,2026/5/14 18:33,"岗位职责:
1、负责自动钻孔（钻铆）装备（含机器人式、龙门式等）在飞机产品的工程化应用，开展相关工艺的研发与应用，制定飞机装配部件的制孔、铆接、插钉等装配工艺流程。
2、参与制定自动钻孔（钻铆）装备的技术规划和实施，包括选型、验收、调试、工艺鉴定等工作。
3、制定自动钻孔（钻铆）装备的标准作业规程，对现场人员进行设备使用培训
4、参与设备故障问题处理等

职位要求:
1、教育程度：本科或以上学历。电气自动化、自动控制、机电一体化等相关专业。
2、工作经验：3年以上钻铆自动化相关工作经验。
3、熟悉CATIA或SolidWorks软件;
4、熟悉自动化产线工艺流程，尤其是机器人应用，了解ABB/KUKA/FANUC机器人程序编写
5、对自动钻铆所涉及的工艺、电气、软件和算法有一定认识。
职能类别：
机器学习工程师",13000.0,150-500人,9.472704636443673,True,True,True,Both,Traditional,1-3 yr,Bachelor,Private,Engineering
人工智能研究专家,https://jobs.51job.com/hangzhou/150502210.html?s=sou_sou_soulb&t=0_0&req=9dd804992318fcd539ffa9f438c71433,3-5万,杭州市滨江区浙工大人工智能创新研究院,非营利组织,150-500人,2026/5/14 18:33,"工作职责
1、负责人工智能、机器学习、深度学习算法建模；
2、负责可信人工智能、对抗样本等人工智能安全算法研究；
3、负责差分隐私、隐私机器学习等人工智能隐私保护算法研究；

工作要求：
1、知名高校计算机科学与技术、网络通信等相关专业博士学位，工作经验、项目经验丰富者可放宽至硕士；
2、对岗位职责描述中至少一个研究方向有较深厚的研究基础；
3、有较强的科研团队组织协调能力和科研项目规划能力；
4、有国家级项目中担任过项目/课题负责人者优先。
职能类别：
科研人员",40000.0,150-500人,10.596634733096073,True,True,True,Both,Digital-Intensive,3+ yr,PhD,Other,Other
机器人与人工智能研究院研究院院长,https://jobs.51job.com/hangzhou-xhq/171709577.html?s=sou_sou_soulb&t=0_0&req=9dd804992318fcd539ffa9f438c71433,1-1.5万,杭州万向职业技术学院,非营利组织,150-500人,2026/5/14 18:33,"岗位职责：
1.全面主持研究院日常运营管理工作，执行学术领导小组决策，牵头编制研究院发展规划内部管理规章、年度工作计划及经费预算，组织落地并监督执行成效。
2.统筹研究院整体建设与发展，负责对外联络与合作洽谈，深度对接高校、企业、研究机构及行业协会，建立长期稳定的合作关系，营造良好外部发展环境。
3.统筹协调研究中心的技术研发、项目推进及成果转化工作，聚焦机器人及人工智能四大核心应用技术领域，开展关键共性技术攻关，取得标志性成果。
4.负责研究院科研队伍建设，搭建队伍引育、培养与激励体系，组织开展常态化学术交流和技术研讨活动，提升队伍整体科研能力与产业服务水平。
5.推动研究成果服务专业建设、课程革新、师资提升和学生成长。
6.完成领导交办的其他工作。


任职条件：
1.遵纪守法，政治素质和道德品质过硬。
2.硕士研究生及以上学历，副高级及以上专业技术职称。具有相关领域的学习或工作经历。具有3年及以上科研平台、高校科研部门或相关产业领域研发管理工作经验，熟悉职业教育发展规律，了解机器人产业发展趋势。
3.具备较强的科研项目策划、组织与实施能力，优秀的统筹协调、沟通谈判能力，能有效整合内外部资源，推动校企协同、产学研融合。熟悉机器人及人工智能领域前沿技术，与相关企业、高校科研院所或行业协会有一定合作资源者优先。认同学院办学理念和研究院发展定位，工作责任心强、作风务实，具有较强的队伍领导能力和创新意识，能带领队伍完成科研攻关、产业服务等相关任务。
4.原则上不超过50周岁，特别优秀者可适当放宽。身心健康，符合《公务员录用体检通用标准》的规定，能适应岗位工作要求，无不良学术记录与违法违规记录。
5.博士研究生或教授职称的优先录用。人岗匹配度高可破格录用。

应聘流程：
1. 目前我院已启用官方招聘系统，请通过学院招聘系统进行简历投递。 后续您可实时查询应聘流程进度，同时面试、体检、入职等各环节的消息均将通过系统推送至手机微信。 2.具体流程：登陆杭州万向职业技术学院官网*************，点击“人才引进”专栏访问“杭州万向职业技术学院招聘系统”，通过微信扫码关注微信服务号后自动登录系统，根据招聘岗位要求及本人实际，填报个人简历并扫描上传所需材料。
职能类别：
科研管理人员",12500.0,150-500人,9.433483923290392,True,True,True,Both,Digital-Intensive,1-3 yr,PhD,Other,Other
