标题,标题链接,sal,er,er2,er1,字段1,采集时间,抓取时间
产品运作管理AI专员,https://jobs.51job.com/hangzhou-bjq/171945484.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.3-1.5万·14薪,浙江宇视科技,,民营,1000-5000人,,2026/5/14 17:14
AI技术合伙人（产品经理）,https://jobs.51job.com/hangzhou-xhq/171116708.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,10-20万/年,浙江昕扬建筑劳务有限公司福州,,民营,50-150人,,2026/5/14 17:14
AI研发工程师,https://jobs.51job.com/hangzhou-tlx/171568825.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.3-2万·13薪,中通供应链管理,,民营,500-1000人,,2026/5/14 17:14
AI应用开发工程师,https://jobs.51job.com/hangzhou-gsq/169730204.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1.2万,杭州杭测信息技术,,民营,50-150人,,2026/5/14 17:14
AI 产品经理,https://jobs.51job.com/hangzhou-scq/171936335.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2-4万·13薪,浙江同富特美刻,,民营,1000-5000人,,2026/5/14 17:14
AI大模型产品经理（算法平台）-Data AML,https://jobs.51job.com/hangzhou/170290239.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3.5-6万,字节跳动,,民营,10000人以上,,2026/5/14 17:14
AI大模型算法工程师,https://jobs.51job.com/hangzhou-qtq/171595745.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-3万,九阳,,已上市,5000-10000人,,2026/5/14 17:14
Python AI工程师,https://jobs.51job.com/hangzhou-xhq/171523990.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-3万·13薪,凯捷技术咨询（杭州）,,外资（欧美）,150-500人,,2026/5/14 17:14
AI架构师,http://sgs.51job.com/jobDetail.html?id=165657331,3-4万,通标标准技术服务有限公司杭州,,民营,500-1000人,,2026/5/14 17:14
AI 算法工程师,https://jobs.51job.com/hangzhou-xhq/170166658.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2万,江苏西励科技,,民营,50-150人,,2026/5/14 17:14
AI产品经理,https://jobs.51job.com/hangzhou-bjq/170749870.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2.5万·14薪,中控技术,,已上市,5000-10000人,,2026/5/14 17:14
AI应用开发专家,https://jobs.51job.com/hangzhou-yhq/169942869.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3-4万,浙江天宇药业,,已上市,1000-5000人,,2026/5/14 17:14
AI工程师（智能体开发方向）,https://jobs.51job.com/hangzhou/171303665.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-3万,康龙化成（成都）临床研究服务,,民营,1000-5000人,,2026/5/14 17:14
AI 应用开发工程师/AI应用专家,https://jobs.51job.com/hangzhou/171522974.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2-4万,浙江双环传动机械,,已上市,5000-10000人,,2026/5/14 17:14
AI训练师,https://jobs.51job.com/hangzhou-scq/171935985.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-2万·14薪,浙江同富特美刻,,民营,1000-5000人,,2026/5/14 17:14
AI产品经理,https://jobs.51job.com/hangzhou-lpq/171794811.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2.5万,浙江联运环境工程,,已上市,5000-10000人,,2026/5/14 17:14
AI部署工程师（浙大团队）,https://jobs.51job.com/hangzhou-fyq/170867880.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-3万,杭州集世迈新能源智能装备,,民营,50-150人,,2026/5/14 17:14
AI大模型平台产品负责人-Data AML,https://jobs.51job.com/hangzhou/170104677.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3.5-6万,字节跳动,,民营,10000人以上,,2026/5/14 17:14
AI 算法工程师,https://jobs.51job.com/hangzhou-xhq/171575881.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3-5万,应用材料投资（中国）,,外资（欧美）,1000-5000人,,2026/5/14 17:14
AI算法专家,https://jobs.51job.com/hangzhou/168191820.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,4-6万·15薪,苏州佐言企业管理咨询,,外资（欧美）,,,2026/5/14 17:14
AI安全工程师,https://jobs.51job.com/hangzhou-bjq/170275844.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2.5-3.5万,航天时代低空科技,,国企,150-500人,,2026/5/14 17:14
AI应用工程师（智能制造方向）,https://jobs.51job.com/hangzhou-gsq/170896235.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2.5万,德清申达机器制造,,国企,150-500人,,2026/5/14 17:14
AI技术总监,https://jobs.51job.com/hangzhou-xhq/169961337.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2.5-4万,杭州摩斯智工科技,,合资,,,2026/5/14 17:14
AI部署工程师（浙大团队）,https://jobs.51job.com/hangzhou-fyq/163070916.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-3万,杭州集世迈新能源智能装备,,民营,50-150人,,2026/5/14 17:14
AI营销项目技术总监,https://jobs.51job.com/hangzhou-yhq/171572433.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2.5-5万,上海昕搜网络科技,,民营,50-150人,,2026/5/14 17:14
ai工程师,https://jobs.51job.com/hangzhou/171733879.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.1-2万,武汉佰钧成技术,,民营,10000人以上,,2026/5/14 17:14
