标题,标题链接,sal,er,er2,er1,字段1,采集时间,抓取时间
游戏动效,https://jobs.51job.com/hangzhou/168833031.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.3-1.7万,武汉佰钧成技术,,民营,10000人以上,,2026/5/14 17:19
动画后期制作,https://jobs.51job.com/hangzhou/171918352.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,5-9千,杭州译景科技,,民营,少于50人,,2026/5/14 17:19
高级AIGC视频生成专员,https://jobs.51job.com/hangzhou/171761107.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,5-8千,陕西慧天集铭科技,,民营,少于50人,,2026/5/14 17:19
投资者关系（base苏州，具身智能）,https://jobs.51job.com/hangzhou/170393548.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,4-8万,星工聚将（苏州）智能科技,,民营,50-150人,,2026/5/14 17:19
QT/C++ 仿真开发工程师,https://jobs.51job.com/hangzhou/171705667.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.5万,杭州万幕科技,,民营,少于50人,,2026/5/14 17:19
网络空间安全博士后,https://jobs.51job.com/hangzhou/152298406.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2-4万,杭州市滨江区浙工大人工智能创新研究院,,非营利组织,150-500人,,2026/5/14 17:19
综合法务,https://jobs.51job.com/hangzhou-yhq/172033614.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-2万,进迭时空（杭州）科技,,民营,150-500人,,2026/5/14 17:19
系统运维工程师,https://jobs.51job.com/hangzhou/171989925.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1.3万,浙江正凯集团,,民营,1000-5000人,,2026/5/14 17:20
科研机构销售专家,https://jobs.51job.com/hangzhou/171927765.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2-3万,利优科技资讯服务（深圳）,,外资（欧美）,10000人以上,,2026/5/14 17:20
UX/UI设计负责人 - 中国（要求英语流利）,https://jobs.51job.com/hangzhou-yhq/170727545.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2.2-3.5万,浙江迅实科技,,民营,500-1000人,,2026/5/14 17:20
区域销售经理,https://jobs.51job.com/hangzhou-xsq/171591456.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,7千-1.2万,杭州梯度安全服务,,民营,少于50人,,2026/5/14 17:20
需求管理岗（期货方向）,https://jobs.51job.com/hangzhou/170340204.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2万,永安期货,,国企,1000-5000人,,2026/5/14 17:20
系统应用工程师(A211590),https://jobs.51job.com/hangzhou-qtq/170162759.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.3-2.7万·13薪,利欧集团,,已上市,5000-10000人,,2026/5/14 17:20
战略研究,https://jobs.51job.com/hangzhou-bjq/169097303.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-3万,杭州具身智能中试基地科技,,创业公司,少于50人,,2026/5/14 17:20
Android高级开发工程师(RD41),https://jobs.51job.com/hangzhou-bjq/167388101.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2.5万,浙江宇视科技,,民营,1000-5000人,,2026/5/14 17:20
UI/UX工程师,https://jobs.51job.com/hangzhou-xhq/171913881.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.2万·13薪,浙江捷昌线性驱动科技,,已上市,1000-5000人,,2026/5/14 17:20
生态合作,https://jobs.51job.com/hangzhou-bjq/169097754.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-3万,杭州具身智能中试基地科技,,创业公司,少于50人,,2026/5/14 17:20
新媒体运营+产品渲染,https://jobs.51job.com/hangzhou-gsq/171369827.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.5万,深圳市凯卓立液压设备股份有限公司杭州,,民营,,,2026/5/14 17:20
软件项目经理,https://jobs.51job.com/hangzhou-scq/171332638.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-3万·15薪,浙江省公众信息产业有限公司杭州市,,国企,少于50人,,2026/5/14 17:20
信息部经理,https://jobs.51job.com/hangzhou-bjq/171147221.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2-3万,祖名豆制品集团,,民营,1000-5000人,,2026/5/14 17:20
产品工程师,https://jobs.51job.com/hangzhou-gsq/171663904.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.8-2.5万,浙江亿邦通信科技,,民营,150-500人,,2026/5/14 17:20
研究院院长,https://jobs.51job.com/hangzhou-xsq/171602371.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,4-8万,杰牌控股集团,,民营,500-1000人,,2026/5/14 17:20
软件UI设计师,https://jobs.51job.com/hangzhou-gsq/162117338.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,6千-1万,杭州松美智能科技,,民营,50-150人,,2026/5/14 17:20
UI设计师,https://jobs.51job.com/hangzhou-yhq/171131598.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.5万·13薪,浙江诺特健康科技,,民营,500-1000人,,2026/5/14 17:20
IT,https://jobs.51job.com/hangzhou-laq/170958783.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,7千-1.4万,杭州毅博服装辅料,,民营,,,2026/5/14 17:20
新媒体运营专员（拍剪）,https://jobs.51job.com/hangzhou-yhq/171628359.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,7-9千,浙江奕湃科技,,民营,少于50人,,2026/5/14 17:20
总经理,https://jobs.51job.com/hangzhou-gsq/171967501.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,40-60万/年,前锦网络信息技术（上海）,,已上市,5000-10000人,,2026/5/14 17:20
电商运营,https://jobs.51job.com/hangzhou-laq/171290558.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,7千-1.2万,上海久连环保材料,,民营,50-150人,,2026/5/14 17:20
LPDDR/DDR控制器资深设计专家,https://jobs.51job.com/hangzhou-yhq/171540252.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3.5-6.5万,进迭时空（杭州）科技,,民营,150-500人,,2026/5/14 17:20
电商视觉设计,https://jobs.51job.com/hangzhou-yhq/171916328.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.5万,杭州第贰曲线品牌管理,,民营,50-150人,,2026/5/14 17:20
TikTok短视频拍剪师,https://jobs.51job.com/hangzhou-xhq/171582984.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,7千-1万,杭州馨宁家纺,,民营,50-150人,,2026/5/14 17:20
金融数据分析（二级市场）,https://jobs.51job.com/hangzhou-xhq/171020901.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.2-1.5万,杭州五洲医疗设备,,民营,150-500人,,2026/5/14 17:20
科技招商经理,https://jobs.51job.com/hangzhou/170077725.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.5万·15薪,杭州市滨江区浙工大人工智能创新研究院,,非营利组织,150-500人,,2026/5/14 17:20
IT主管,https://jobs.51job.com/hangzhou-lpq/171955238.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,16-24万/年,浙江金羽新能源科技,,民营,150-500人,,2026/5/14 17:20
战略规划经理,https://jobs.51job.com/hangzhou-bjq/171706219.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2.5-5万·15薪,中控技术,,已上市,5000-10000人,,2026/5/14 17:20
商务经理（GEO）,https://jobs.51job.com/hangzhou-yhq/170570890.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.5万,上海昕搜网络科技,,民营,50-150人,,2026/5/14 17:20
前端开发工程师,https://jobs.51job.com/hangzhou/170238875.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.3-1.4万·15薪,杭州市滨江区浙工大人工智能创新研究院,,非营利组织,150-500人,,2026/5/14 17:20
产品设计师,https://jobs.51job.com/hangzhou-xsq/171993415.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.2-1.8万,宁波弥鹿创意科技,,民营,150-500人,,2026/5/14 17:20
整合企划,https://jobs.51job.com/hangzhou-bjq/171162646.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2.5-3.5万,海威控股,,民营,500-1000人,,2026/5/14 17:20
合伙人招募,https://jobs.51job.com/hangzhou-scq/168290853.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,10-20万/年,浙江亿仓达供应链管理,,民营,50-150人,,2026/5/14 17:20
人才引进主管,https://jobs.51job.com/hangzhou/153822310.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.5万·16薪,杭州市滨江区浙工大人工智能创新研究院,,非营利组织,150-500人,,2026/5/14 17:20
政策申报岗,https://jobs.51job.com/hangzhou-bjq/170902563.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-1.8万,杭州数亮科技,,民营,50-150人,,2026/5/14 17:21
平面设计/美工,https://jobs.51job.com/hangzhou-jds/170574597.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1.3万,杭州铜师傅文创（集团）,,民营,1000-5000人,,2026/5/14 17:21
产业研究员,https://jobs.51job.com/hangzhou-bjq/170902515.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-1.8万,杭州数亮科技,,民营,50-150人,,2026/5/14 17:21
视觉设计师,https://jobs.51job.com/hangzhou-xsq/171857613.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,7.5-9.5千·13薪,杭州市临空建设投资集团,,国企,50-150人,,2026/5/14 17:21
赛会展培岗,https://jobs.51job.com/hangzhou-bjq/171125993.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-3万,杭州具身智能中试基地科技,,创业公司,少于50人,,2026/5/14 17:21
科技项目申报主管 / 经理,https://jobs.51job.com/hangzhou-gsq/171840072.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,15-20万/年,超创数能科技,,民营,少于50人,,2026/5/14 17:21
行业研究,https://jobs.51job.com/hangzhou-xhq/170942554.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.2-1.5万,杭州五洲医疗设备,,民营,150-500人,,2026/5/14 17:21
排版员,https://jobs.51job.com/hangzhou/167669738.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,5-8千·13薪,北京京铭宏硕科技有限公司西安,,民营,,,2026/5/14 17:21
资深美术指导,https://jobs.51job.com/hangzhou/171920112.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.2万,浙江华瑞信息资讯,,民营,150-500人,,2026/5/14 17:21
医疗大模型算法负责人,https://jobs.51job.com/hangzhou/171302163.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-3万,康龙化成（成都）临床研究服务,,民营,1000-5000人,,2026/5/14 17:21
产品运营助理,https://jobs.51job.com/hangzhou-yhq/171971812.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.3-1.4万,四川凯锐人力资源管理,,民营,500-1000人,,2026/5/14 17:21
产品造型设计师,https://jobs.51job.com/hangzhou-xsq/168426028.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1.3万,浙江长来长往互联科技,,民营,50-150人,,2026/5/14 17:21
产品经理,https://jobs.51job.com/hangzhou-bjq/171252241.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.2-1.8万,帕科视讯科技（杭州）,,民营,150-500人,,2026/5/14 17:21
售前工程师,https://jobs.51job.com/hangzhou/160735648.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-1.8万,中达安,,已上市,1000-5000人,,2026/5/14 17:21
业务拓展经理,https://jobs.51job.com/hangzhou/163872071.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-2万,杭州康乾电子,,民营,少于50人,,2026/5/14 17:21
产品设计师(6名),https://jobs.51job.com/hangzhou/171426377.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,5千-1万,杭州美吉克科技,,民营,少于50人,,2026/5/14 17:21
创意视频编导,https://jobs.51job.com/hangzhou/171762429.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1万,浙江塔牌绍兴酒,,国企,500-1000人,,2026/5/14 17:21
产品设计师-直播,https://jobs.51job.com/hangzhou/170135755.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2-4万,字节跳动,,民营,10000人以上,,2026/5/14 17:21
方案设计师（杭州）,https://jobs.51job.com/hangzhou-xhq/171724725.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.5万,广州怡境规划设计,,民营,500-1000人,,2026/5/14 17:21
销售经理,https://jobs.51job.com/hangzhou-bjq/171114600.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2万,杭州安脉盛智能技术,,民营,150-500人,,2026/5/14 17:21
方案设计助理（杭州）,https://jobs.51job.com/hangzhou-xhq/171724675.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,6-8千,广州怡境规划设计,,民营,500-1000人,,2026/5/14 17:21
售前技术支持-网新健康,https://jobs.51job.com/hangzhou-bjq/171723132.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-1.8万·13薪,网新科创产业发展集团,,民营,150-500人,,2026/5/14 17:21
机器人工程师,https://jobs.51job.com/hangzhou-lpq/169758787.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2.4-3万·16薪,泰兴市华康安消防,,民营,,,2026/5/14 17:21
创意短视频编导,https://jobs.51job.com/hangzhou-yhq/171027507.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2.5万,浙江三生蔓迪药业,,已上市,1000-5000人,,2026/5/14 17:21
线上企业宣传画册折页设计师,https://jobs.51job.com/hangzhou/170527016.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3-6千,武汉市樱话传媒,,民营,少于50人,,2026/5/14 17:21
视觉工程师,https://jobs.51job.com/hangzhou-xsq/162472789.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.6万·13薪,浙江杭可科技,,已上市,1000-5000人,,2026/5/14 17:21
AIGC品牌设计师助理(可接受小白),https://jobs.51job.com/hangzhou-bjq/171967341.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1.5万,杭州慕谷文化创意,,民营,少于50人,,2026/5/14 17:21
咨询顾问（设计方向）,https://jobs.51job.com/hangzhou-bjq/170704959.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.1-2万,安脉时代智能制造（宁德）,,民营,50-150人,,2026/5/14 17:21
产品设计（平面设计方向）,https://jobs.51job.com/hangzhou-yhq/170153297.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,4-8千,杭州商旅知味观电子商务,,国企,50-150人,,2026/5/14 17:21
新媒体运营（居家办公）,https://jobs.51job.com/hangzhou-xhq/163953984.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,5-8千·13薪,贯军（上海）教育科技,,民营,少于50人,,2026/5/14 17:21
超算机房运维工程师,https://jobs.51job.com/hangzhou-fyq/171848512.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-2万,云知声智能科技,,已上市,150-500人,,2026/5/14 17:21
景观设计助理（建模岗）,https://jobs.51job.com/hangzhou-gsq/172050811.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,4.5-8千,浙江城建规划设计院,,民营,150-500人,,2026/5/14 17:21
CMC技术总监-杭州(J26379),https://jobs.51job.com/hangzhou-lpq/170681752.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,5-6万·15薪,信达生物制药（苏州）,,已上市,5000-10000人,,2026/5/14 17:21
"助理研究员（3DGS, NeRF方向）",https://jobs.51job.com/hangzhou-gsq/159643677.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,7千-1.4万,香港理工大学深圳研究院,,外资（非欧美）,50-150人,,2026/5/14 17:21
信息安全工程师,https://jobs.51job.com/hangzhou-bjq/170474937.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.2-1.8万·13薪,杭州易景数通科技,,民营,150-500人,,2026/5/14 17:21
网络安全工程师,https://jobs.51job.com/hangzhou-bjq/170475454.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.2-1.8万·13薪,杭州易景数通科技,,民营,150-500人,,2026/5/14 17:21
软件销售经理,https://jobs.51job.com/hangzhou/163250218.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1.2万,中达安,,已上市,1000-5000人,,2026/5/14 17:21
新媒体运营实习生,https://jobs.51job.com/hangzhou-xhq/171666528.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3千及以下,先之（杭州）教育科技,,民营,150-500人,,2026/5/14 17:21
工业设计师,https://jobs.51job.com/hangzhou-bjq/171794569.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2.2万,杭州欣润医疗科技,,创业公司,少于50人,,2026/5/14 17:21
财务经理,https://jobs.51job.com/hangzhou/165706966.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.2-1.5万·15薪,杭州市滨江区浙工大人工智能创新研究院,,非营利组织,150-500人,,2026/5/14 17:22
嵌入式Linux软件开发工程师,https://jobs.51job.com/hangzhou-xhq/132603920.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.8-2万·13薪,杭州青泓科技,,合资,50-150人,,2026/5/14 17:22
云计算架构师（双休）,https://jobs.51job.com/hangzhou-xsq/168183852.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1.1万·13薪,河南星芽网络科技,,民营,150-500人,,2026/5/14 17:22
初级java开发工程师,https://jobs.51job.com/hangzhou-yhq/166085217.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1.4万,杭州浙诚数据科技,,民营,少于50人,,2026/5/14 17:22
PLC 电气工程师（暖通方向）,https://jobs.51job.com/hangzhou-lpq/171674618.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-2万,江苏嘉盛环境设备制造,,民营,500-1000人,,2026/5/14 17:22
省区经理（浙江）,https://jobs.51job.com/hangzhou/171654330.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2万·14薪,珠海丽珠试剂,,已上市,500-1000人,,2026/5/14 17:22
技术管理人员(J10432),https://jobs.51job.com/hangzhou-lpq/170888949.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1万,杭州胡庆余堂药业,,合资,1000-5000人,,2026/5/14 17:22
培训发展专员,https://jobs.51job.com/hangzhou-yhq/171964333.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,9千-1.5万,杭州亲橙商企科技服务,,民营,少于50人,,2026/5/14 17:22
电源硬件工程师（服务器电源-杭州）,https://jobs.51job.com/hangzhou-qtq/169964279.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2.5万,湖南麦格米特电气技术,,已上市,1000-5000人,,2026/5/14 17:22
产品设计师（家纺/家居方向）,https://jobs.51job.com/hangzhou/171428504.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,6千-1万,范可萨（杭州）建筑设计工程,,民营,50-150人,,2026/5/14 17:22
液冷数据中心解决方案工程师,https://jobs.51job.com/hangzhou-qtq/170994620.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2万·14薪,杭州美仪自动化技术,,民营,500-1000人,,2026/5/14 17:22
移动APP开发,https://jobs.51job.com/hangzhou-bjq/171383098.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1.2万·14薪,滨江兄弟信息技术（杭州）,,外资（非欧美）,150-500人,,2026/5/14 17:22
Senior Power Electronics Engineer,https://jobs.51job.com/hangzhou-xhq/169292361.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3-6万·15薪,杭州茂力半导体技术,,外资（欧美）,1000-5000人,,2026/5/14 17:22
计算平台测试工程师,https://jobs.51job.com/hangzhou-yhq/171760236.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.1-2万·14薪,江苏雷利电机,,合资,1000-5000人,,2026/5/14 17:22
英语教师,https://jobs.51job.com/hangzhou/171800628.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1.6万,杭州云知舟人工智能科技,,民营,50-150人,,2026/5/14 17:22
AIGC动态漫工程师,https://jobs.51job.com/hangzhou-yhq/170173705.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-2万,浙江东氟塑料科技,,民营,150-500人,,2026/5/14 17:22
数据质检+周末双休,https://jobs.51job.com/hangzhou-bjq/171915011.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,5-6千,杭州姚生记食品,,民营,150-500人,,2026/5/14 17:22
大客户销售（杭州）,https://jobs.51job.com/hangzhou/170771916.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2-2.5万,南京贝塔大数据科技,,民营,50-150人,,2026/5/14 17:22
Java软件研发工程师,https://jobs.51job.com/hangzhou-xhq/171820397.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.1-1.5万,浙江省建筑科学设计研究院,,国企,1000-5000人,,2026/5/14 17:22
图文广告店店长\合伙人,https://jobs.51job.com/hangzhou-xhq/169770375.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,6-9千,杭州东上泰建材,,民营,少于50人,,2026/5/14 17:22
内衣设计师,https://jobs.51job.com/hangzhou-xsq/157145225.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.5万·13薪,浙江健盛集团,,民营,1000-5000人,,2026/5/14 17:22
数字媒体技术应用教师,https://jobs.51job.com/hangzhou-fyq/160045393.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,7千-1万,浙江建设技师学院,,事业单位,150-500人,,2026/5/14 17:22
控制算法工程师（陀螺稳像方向）,https://jobs.51job.com/hangzhou-gsq/167368807.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2-4万,杭州数尔安防科技,,已上市,50-150人,,2026/5/14 17:22
投资经理,https://jobs.51job.com/hangzhou/171854350.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,6.5-10万,上海学珍企业管理咨询事务所,,民营,,,2026/5/14 17:22
中级后端开发工程师,https://jobs.51job.com/hangzhou-xhq/170855932.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.2万,浙江黄龙体育发展,,国企,150-500人,,2026/5/14 17:22
技术支持工程师,https://jobs.51job.com/hangzhou-yhq/171021587.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,12-18万/年,杭州低空产业发展,,国企,少于50人,,2026/5/14 17:22
视觉软件工程师,https://jobs.51job.com/hangzhou-bjq/171348682.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2-4万·15薪,杭州长川科技,,已上市,1000-5000人,,2026/5/14 17:22
副部长,https://jobs.51job.com/hangzhou-gsq/171656838.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,28-35万/年,杭州市国有资本投资运营,,国企,10000人以上,,2026/5/14 17:22
财务BP,https://jobs.51job.com/hangzhou-scq/171348274.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,,杭州市人工智能产业创新中心,,国企,少于50人,,2026/5/14 17:22
创业合伙人-全国二次退税+新赛道、红利期,https://jobs.51job.com/all/171049901.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2-4万,河南纳尔格商贸,,民营,少于50人,,2026/5/14 17:22
培训运营岗,https://jobs.51job.com/hangzhou-bjq/171439585.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-3万,杭州具身智能中试基地科技,,创业公司,少于50人,,2026/5/14 17:22
HRBP（食品方向）(J10305),https://jobs.51job.com/hangzhou-qtq/170714632.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.2-1.8万,杭州九阳豆业,,民营,500-1000人,,2026/5/14 17:22
Java开发 (MJ000177),https://jobs.51job.com/hangzhou-xsq/169531193.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2.5万,杭州科百特过滤器材,,民营,5000-10000人,,2026/5/14 17:22
销售总监(J15531),https://jobs.51job.com/hangzhou/171782604.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2.5-3万,北京先进数通信息技术股份,,已上市,1000-5000人,,2026/5/14 17:22
游戏场景原画,https://jobs.51job.com/hangzhou/168832895.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.3-1.7万,武汉佰钧成技术,,民营,10000人以上,,2026/5/14 17:22
网络信息管理,https://jobs.51job.com/hangzhou-xhq/170875666.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,7千-1万,中国能源建设集团浙江省电力设计院,,国企,500-1000人,,2026/5/14 17:22
解决方案/售前（二本及以上）,https://jobs.51job.com/hangzhou/171994490.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.6万,南京绛门信息科技,,已上市,1000-5000人,,2026/5/14 17:23
医药招商经理,https://jobs.51job.com/hangzhou-lpq/171393649.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-2万,上海理安高人工智能科技,,民营,,,2026/5/14 17:23
摄像机产品测试经理,https://jobs.51job.com/hangzhou-gsq/168315358.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2.5万,杭州数尔安防科技,,已上市,50-150人,,2026/5/14 17:23
博士后(J12820),https://jobs.51job.com/hangzhou/171846530.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,25-40万/年,浙江泰隆商业银行,,民营,10000人以上,,2026/5/14 17:23
